band,setting_freq,setting_gain,setting_q,freq_hz,db
hpf,80,0,0,149.82,-1.9594
hpf,80,0,0,155.11,-1.8524
hpf,80,0,0,160.59,-1.7501
hpf,80,0,0,166.26,-1.6524
hpf,80,0,0,172.13,-1.5593
hpf,80,0,0,178.21,-1.4705
hpf,80,0,0,184.50,-1.3861
hpf,80,0,0,191.01,-1.3057
hpf,80,0,0,197.76,-1.2295
hpf,80,0,0,204.74,-1.1571
hpf,80,0,0,211.97,-1.0884
hpf,80,0,0,219.46,-1.0234
hpf,80,0,0,227.21,-0.9618
hpf,80,0,0,235.23,-0.9036
hpf,80,0,0,243.54,-0.8485
hpf,80,0,0,252.14,-0.7965
hpf,80,0,0,261.04,-0.7475
hpf,80,0,0,270.26,-0.7012
hpf,80,0,0,279.80,-0.6575
hpf,80,0,0,289.68,-0.6164
hpf,80,0,0,299.91,-0.5777
hpf,80,0,0,310.50,-0.5413
hpf,80,0,0,321.47,-0.5070
hpf,80,0,0,332.82,-0.4748
hpf,80,0,0,344.57,-0.4446
hpf,80,0,0,356.74,-0.4161
hpf,80,0,0,369.34,-0.3894
hpf,80,0,0,382.38,-0.3644
hpf,80,0,0,395.88,-0.3409
hpf,80,0,0,409.86,-0.3189
hpf,80,0,0,424.34,-0.2982
hpf,80,0,0,439.32,-0.2788
hpf,80,0,0,454.83,-0.2607
hpf,80,0,0,470.89,-0.2437
hpf,80,0,0,487.52,-0.2278
hpf,80,0,0,504.74,-0.2129
hpf,80,0,0,522.56,-0.1989
hpf,80,0,0,541.01,-0.1859
hpf,80,0,0,560.12,-0.1736
hpf,80,0,0,579.90,-0.1622
hpf,80,0,0,600.38,-0.1515
hpf,80,0,0,621.58,-0.1415
hpf,80,0,0,643.53,-0.1322
hpf,80,0,0,666.25,-0.1234
hpf,80,0,0,689.78,-0.1153
hpf,80,0,0,714.13,-0.1076
hpf,80,0,0,739.35,-0.1005
hpf,80,0,0,765.46,-0.0938
hpf,80,0,0,792.49,-0.0876
hpf,80,0,0,820.47,-0.0818
hpf,80,0,0,849.45,-0.0764
hpf,80,0,0,879.44,-0.0713
hpf,80,0,0,910.50,-0.0665
hpf,80,0,0,942.65,-0.0621
hpf,80,0,0,975.94,-0.0580
hpf,80,0,0,1010.40,-0.0541
hpf,80,0,0,1046.08,-0.0505
hpf,80,0,0,1083.02,-0.0471
hpf,80,0,0,1121.26,-0.0440
hpf,80,0,0,1160.86,-0.0410
hpf,80,0,0,1201.85,-0.0383
hpf,80,0,0,1244.29,-0.0358
hpf,80,0,0,1288.23,-0.0334
hpf,80,0,0,1333.72,-0.0311
hpf,80,0,0,1380.82,-0.0291
hpf,80,0,0,1429.58,-0.0271
hpf,80,0,0,1480.06,-0.0253
hpf,80,0,0,1532.32,-0.0236
hpf,80,0,0,1586.43,-0.0220
hpf,80,0,0,1642.45,-0.0206
hpf,80,0,0,1700.45,-0.0192
hpf,80,0,0,1760.50,-0.0179
hpf,80,0,0,1822.67,-0.0167
hpf,80,0,0,1887.03,-0.0156
hpf,80,0,0,1953.66,-0.0145
hpf,80,0,0,2022.65,-0.0136
hpf,80,0,0,2094.08,-0.0127
hpf,80,0,0,2168.02,-0.0118
hpf,80,0,0,2244.58,-0.0110
hpf,80,0,0,2323.84,-0.0103
hpf,80,0,0,2405.90,-0.0096
hpf,80,0,0,2490.86,-0.0089
hpf,80,0,0,2578.82,-0.0083
hpf,80,0,0,2669.88,-0.0078
hpf,80,0,0,2764.16,-0.0073
hpf,80,0,0,2861.77,-0.0068
hpf,80,0,0,2962.83,-0.0063
hpf,80,0,0,3067.45,-0.0059
hpf,80,0,0,3175.77,-0.0055
hpf,80,0,0,3287.91,-0.0051
hpf,80,0,0,3404.02,-0.0048
hpf,80,0,0,3524.22,-0.0045
hpf,80,0,0,3648.67,-0.0042
hpf,80,0,0,3777.51,-0.0039
hpf,80,0,0,3910.91,-0.0036
hpf,80,0,0,4049.01,-0.0034
hpf,80,0,0,4191.99,-0.0032
hpf,80,0,0,4340.02,-0.0029
hpf,80,0,0,4493.28,-0.0028
hpf,80,0,0,4651.94,-0.0026
hpf,80,0,0,4816.21,-0.0024
hpf,80,0,0,4986.29,-0.0022
hpf,80,0,0,5162.36,-0.0021
hpf,80,0,0,5344.66,-0.0019
hpf,80,0,0,5533.39,-0.0018
